Process Name,PID,,,,,,,,,,,,,
Explorer.EXE,8784,,,,,,,,,,,,,
Procmon64.exe,16152,,,,,,,,,,,,,
Procmon.exe,9180,,,,,,,,,,,,,
System,4,,,,,,,,,,,,,
WUDFHost.exe,1636,,,,,,,,,,,,,
services.exe,1380,,,,,,,,,,,,,
lsass.exe,1436,,,,,,,,,,,,,
wininit.exe,1256,,,,,,,,,,,,,
ctfmon.exe,18532,,,,,,,,,,,,,
svchost.exe,1328,,,,,,,,,,,,,
WUDFHost.exe,1856,,,,,,,,,,,,,
Secure System,188,,,,,,,,,,,,,
Registry,232,,,,,,,,,,,,,
smss.exe,844,,,,,,,,,,,,,
csrss.exe,1168,,,,,,,,,,,,,
csrss.exe,1264,,,,,,,,,,,,,
winlogon.exe,1360,,,,,,,,,,,,,
LsaIso.exe,1424,,,,,,,,,,,,,
svchost.exe,1588,,,,,,,,,,,,,
fontdrvhost.exe,1616,,,,,,,,,,,,,
fontdrvhost.exe,1624,,,,,,,,,,,,,
svchost.exe,1760,,,,,,,,,,,,,
svchost.exe,1804,,,,,,,,,,,,,
dwm.exe,1952,,,,,,,,,,,,,
svchost.exe,940,,,,,,,,,,,,,
svchost.exe,1800,,,,,,,,,,,,,
svchost.exe,1940,,,,,,,,,,,,,
svchost.exe,2056,,,,,,,,,,,,,
svchost.exe,2072,,,,,,,,,,,,,
svchost.exe,2088,,,,,,,,,,,,,
svchost.exe,2100,,,,,,,,,,,,,
svchost.exe,2276,,,,,,,,,,,,,
svchost.exe,2376,,,,,,,,,,,,,
svchost.exe,2384,,,,,,,,,,,,,
svchost.exe,2420,,,,,,,,,,,,,
svchost.exe,2572,,,,,,,,,,,,,
svchost.exe,2608,,,,,,,,,,,,,
svchost.exe,2632,,,,,,,,,,,,,
IntelCpHDCPSvc.exe,2644,,,,,,,,,,,,,
svchost.exe,2732,,,,,,,,,,,,,
svchost.exe,2740,,,,,,,,,,,,,
svchost.exe,2796,,,,,,,,,,,,,
fluent-bit.exe,6580,,,,,,,,,,,,,
svchost.exe,3020,,,,,,,,,,,,,
svchost.exe,3028,,,,,,,,,,,,,
svchost.exe,3200,,,,,,,,,,,,,
svchost.exe,3280,,,,,,,,,,,,,
svchost.exe,3432,,,,,,,,,,,,,
svchost.exe,3592,,,,,,,,,,,,,
svchost.exe,3656,,,,,,,,,,,,,
WUDFHost.exe,3680,,,,,,,,,,,,,
svchost.exe,3840,,,,,,,,,,,,,
svchost.exe,3848,,,,,,,,,,,,,
svchost.exe,3856,,,,,,,,,,,,,
MemCompression,3960,,,,,,,,,,,,,
svchost.exe,4020,,,,,,,,,,,,,
svchost.exe,4084,,,,,,,,,,,,,
TouchpointAnalyticsClientService.exe,4092,,,,,,,,,,,,,
AppHelperCap.exe,2568,,,,,,,,,,,,,
SysInfoCap.exe,3048,,,,,,,,,,,,,
DiagsCap.exe,3044,,,,,,,,,,,,,
svchost.exe,3084,,,,,,,,,,,,,
svchost.exe,2248,,,,,,,,,,,,,
NetworkCap.exe,2904,,,,,,,,,,,,,
hpsvcsscan.exe,4160,,,,,,,,,,,,,
svchost.exe,4284,,,,,,,,,,,,,
svchost.exe,4460,,,,,,,,,,,,,
unsecapp.exe,4616,,,,,,,,,,,,,
svchost.exe,4188,,,,,,,,,,,,,
svchost.exe,5204,,,,,,,,,,,,,
wmiprvse.exe,5212,,,,,,,,,,,,,
svchost.exe,5476,,,,,,,,,,,,,
svchost.exe,5652,,,,,,,,,,,,,
svchost.exe,5660,,,,,,,,,,,,,
svchost.exe,6168,,,,,,,,,,,,,
svchost.exe,6200,,,,,,,,,,,,,
NgcIso.exe,6228,,,,,,,,,,,,,
svchost.exe,6300,,,,,,,,,,,,,
svchost.exe,6396,,,,,,,,,,,,,
svchost.exe,6404,,,,,,,,,,,,,
HotKeyServiceUWP.exe,6636,,,,,,,,,,,,,
acnamlogonagent.exe,6716,,,,,,,,,,,,,
vpnagent.exe,6724,,,,,,,,,,,,,
